order_id,customer_id,order_date,ship_date,ship_mode,total_amount,status
US-2016-125969,LS-16975,11-06-2016,11-10-2016,Second Class,81.424,Delivered
US-2017-164147,DW-13585,02-02-2017,02-05-2017,First Class,59.97,Delivered
CA-2016-145583,LC-16885,10/13/2016,10/19/2016,Standard Class,20.04,Delivered
CA-2016-110366,JD-15895,09-05-2016,09-07-2016,Second Class,82.8,Delivered
CA-2017-106180,SH-19975,9/18/2017,9/23/2017,Standard Class,8.82,Delivered
CA-2017-155376,SG-20080,12/22/2017,12/27/2017,Standard Class,839.43,Delivered
CA-2015-110744,HA-14920,09-07-2015,09-12-2015,Standard Class,671.93,Delivered
CA-2014-110072,MG-17680,10/22/2014,10/28/2014,Standard Class,93.888,Delivered
CA-2016-114489,JE-16165,12-05-2016,12-09-2016,Standard Class,384.45,Delivered
CA-2016-158834,TW-21025,3/13/2016,3/16/2016,First Class,157.92,Delivered
CA-2015-124919,SP-20650,5/31/2015,06-02-2015,First Class,58.38,Delivered
CA-2015-118948,NK-18490,5/28/2015,06-03-2015,Standard Class,6.63,Delivered
CA-2014-104269,DB-13060,03-01-2014,03-06-2014,Second Class,457.568,Delivered
CA-2016-114104,NP-18670,11/20/2016,11/24/2016,Standard Class,14.62,Delivered
CA-2016-162733,TT-21070,05-11-2016,05-12-2016,First Class,5.98,Delivered
CA-2015-119697,EM-13960,12/28/2015,12/31/2015,Second Class,54.384,Delivered
CA-2016-154508,RD-19900,11/16/2016,11/20/2016,Standard Class,28.4,Delivered
CA-2016-113817,MJ-17740,11-07-2016,11-11-2016,Standard Class,27.68,Delivered
CA-2014-139892,BM-11140,09-08-2014,09-12-2014,Standard Class,9.936,Delivered
CA-2014-118962,CS-12130,08-05-2014,08-09-2014,Standard Class,20.94,Delivered
US-2014-100853,JB-15400,9/14/2014,9/19/2014,Standard Class,52.448,Delivered
US-2017-152366,SJ-20500,4/21/2017,4/25/2017,Second Class,97.264,Delivered
US-2015-101511,JE-15745,11/21/2015,11/23/2015,Second Class,396.802,Delivered
CA-2015-137225,JK-15640,12/15/2015,12/19/2015,Standard Class,3.28,Delivered
CA-2014-166191,DK-13150,12-05-2014,12-09-2014,Second Class,24.816,Delivered
CA-2014-158274,RM-19675,11/19/2014,11/24/2014,Second Class,503.96,Delivered
CA-2016-105018,SK-19990,11/28/2016,12-02-2016,Standard Class,7.16,Delivered
CA-2014-123260,FM-14290,8/26/2014,8/30/2014,Standard Class,176.8,Delivered
CA-2016-157000,AM-10360,7/16/2016,7/22/2016,Standard Class,37.224,Delivered
CA-2015-102281,MP-17470,10-12-2015,10/14/2015,First Class,899.136,Delivered
CA-2015-131457,MZ-17515,10/31/2015,11-06-2015,Standard Class,14.28,Delivered
CA-2014-140004,CB-12025,3/21/2014,3/25/2014,Standard Class,7.408,Delivered
CA-2017-107720,VM-21685,11-06-2017,11/13/2017,Standard Class,46.26,Delivered
US-2017-124303,FH-14365,07-06-2017,7/13/2017,Standard Class,2.946,Delivered
CA-2017-105074,MB-17305,6/24/2017,6/29/2017,Standard Class,21.744,Delivered
CA-2014-133690,BS-11755,08-03-2014,08-05-2014,First Class,218.75,Delivered
US-2017-116701,LC-17140,12/17/2017,12/21/2017,Second Class,66.284,Delivered
CA-2017-126382,HK-14890,06-03-2017,06-07-2017,Standard Class,35.168,Delivered
CA-2017-108329,LE-16810,12-09-2017,12/14/2017,Standard Class,444.768,Delivered
CA-2017-135860,JH-15985,12-01-2017,12-07-2017,Standard Class,83.92,Delivered
CA-2015-101007,MS-17980,02-09-2015,2/13/2015,Second Class,20.8,Delivered
CA-2015-146262,VW-21775,01-02-2015,01-09-2015,Standard Class,23.68,Delivered
CA-2016-130162,JH-15910,10/28/2016,11-01-2016,Standard Class,93.06,Delivered
CA-2015-169397,JB-15925,12/24/2015,12/27/2015,First Class,5.584,Delivered
CA-2015-163055,DS-13180,08-09-2015,8/16/2015,Standard Class,2.2,Delivered
US-2015-145436,VD-21670,2/28/2015,03-04-2015,Standard Class,161.568,Delivered
US-2014-156216,EA-14035,9/13/2014,9/17/2014,Standard Class,18.648,Delivered
US-2017-100930,CS-12400,04-07-2017,04-12-2017,Standard Class,233.86,Delivered
CA-2017-160514,DB-13120,11-12-2017,11/16/2017,Standard Class,10.56,Delivered
CA-2016-157749,KL-16645,06-04-2016,06-09-2016,Second Class,25.92,Delivered
CA-2014-131926,DW-13480,06-01-2014,06-06-2014,Second Class,2001.86,Delivered
CA-2016-154739,LH-17155,12-10-2016,12/15/2016,Second Class,321.568,Delivered
CA-2016-145625,KC-16540,09-11-2016,9/17/2016,Standard Class,7.61,Delivered
CA-2016-146941,DL-13315,12-10-2016,12/13/2016,First Class,80.58,Delivered
US-2015-159982,DR-12880,11/28/2015,12-04-2015,Standard Class,12.132,Delivered
CA-2017-163139,CC-12670,12-01-2017,12-03-2017,Second Class,20.37,Delivered
US-2017-155299,Dl-13600,06-08-2017,06-12-2017,Standard Class,1.624,Delivered
US-2014-106992,SB-20290,9/19/2014,9/21/2014,Second Class,3059.982,Delivered
CA-2016-125318,RC-19825,06-06-2016,6/13/2016,Standard Class,328.224,Delivered
CA-2015-155040,AH-10210,11-10-2015,11/15/2015,Standard Class,79.9,Delivered
CA-2017-136826,CB-12535,6/16/2017,6/20/2017,Standard Class,14.016,Delivered
CA-2016-111010,PG-18895,1/22/2016,1/28/2016,Standard Class,7.56,Delivered
US-2017-145366,CA-12310,12-09-2017,12/13/2017,Standard Class,37.208,Delivered
CA-2017-163979,KH-16690,12/28/2017,01-02-2018,Second Class,725.84,Delivered
CA-2015-155334,HA-14920,7/30/2015,7/31/2015,First Class,209.93,Delivered
CA-2017-118136,BB-10990,9/16/2017,9/17/2017,First Class,8.82,Delivered
CA-2017-132976,AG-10495,10/13/2017,10/17/2017,Standard Class,11.648,Delivered
US-2015-161991,SC-20725,9/26/2015,9/28/2015,Second Class,2.08,Delivered
CA-2015-130890,JO-15280,11-02-2015,11-06-2015,Standard Class,1038.84,Delivered
CA-2015-130883,TB-21520,9/26/2015,10-02-2015,Standard Class,141.76,Delivered
CA-2016-112697,AH-10195,12/18/2016,12/20/2016,Second Class,254.058,Delivered
CA-2016-110772,NZ-18565,11/20/2016,11/24/2016,Second Class,19.096,Delivered
CA-2014-111451,KL-16555,12/26/2014,12/28/2014,First Class,300.416,Delivered
CA-2016-142545,JD-15895,10/28/2016,11-03-2016,Standard Class,32.4,Delivered
US-2017-152380,JH-15910,11/19/2017,11/23/2017,Standard Class,219.075,Delivered
CA-2015-144253,AS-10225,05-04-2015,05-09-2015,Second Class,26.8,Delivered
CA-2014-130960,KB-16600,12/30/2014,01-04-2015,Standard Class,9.84,Delivered
CA-2014-111003,CR-12625,06-01-2014,06-06-2014,Standard Class,45.48,Delivered
CA-2017-126774,SH-20395,4/15/2017,4/17/2017,First Class,4.89,Delivered
CA-2016-142902,BP-11185,09-12-2016,9/14/2016,Second Class,15.136,Delivered
CA-2014-120887,TS-21205,9/27/2014,10-03-2014,Standard Class,87.54,Delivered
CA-2014-167850,AG-10525,08-09-2014,8/16/2014,Standard Class,178.384,Delivered
CA-2014-164259,SP-20860,12/28/2014,12/30/2014,First Class,99.136,Delivered
CA-2014-164973,NM-18445,11-04-2014,11-09-2014,Standard Class,135.882,Delivered
CA-2014-156601,FA-14230,9/19/2014,9/24/2014,Standard Class,7.16,Delivered
CA-2016-162138,GK-14620,4/23/2016,4/27/2016,Standard Class,251.52,Delivered
CA-2017-153339,DJ-13510,11-03-2017,11-05-2017,Second Class,15.992,Delivered
US-2016-141544,PO-18850,8/30/2016,09-01-2016,First Class,290.898,Delivered
US-2016-150147,JL-15850,4/25/2016,4/29/2016,Second Class,82.8,Delivered
CA-2015-137946,DB-13615,09-01-2015,09-04-2015,Second Class,4.752,Delivered
CA-2014-129924,AC-10420,07-12-2014,7/17/2014,Standard Class,7.712,Delivered
CA-2015-128167,KL-16645,6/22/2015,6/26/2015,Second Class,4.96,Delivered
CA-2014-122336,JD-15895,4/13/2014,4/17/2014,Second Class,17.856,Delivered
US-2015-120712,CS-12130,12/20/2015,12/24/2015,Standard Class,88.8,Delivered
CA-2017-169901,CC-12550,6/15/2017,6/19/2017,Standard Class,47.976,Delivered
CA-2017-134306,TD-20995,07-08-2017,07-12-2017,Standard Class,7.56,Delivered
CA-2016-129714,AB-10060,09-01-2016,09-03-2016,First Class,6.79,Delivered
CA-2016-138520,JL-15505,04-08-2016,4/13/2016,Standard Class,388.704,Delivered
CA-2016-130001,HK-14890,4/23/2016,4/28/2016,Standard Class,36.24,Delivered
CA-2017-155698,VB-21745,03-08-2017,03-11-2017,First Class,647.84,Delivered
CA-2017-144904,KW-16435,9/25/2017,10-01-2017,Standard Class,20.7,Delivered
CA-2014-123344,JD-16060,9/24/2014,9/29/2014,Standard Class,211.96,Delivered
CA-2016-155516,MK-17905,10/21/2016,10/21/2016,Same Day,23.2,Delivered
CA-2017-104745,GT-14755,5/29/2017,06-04-2017,Standard Class,25.92,Delivered
US-2014-119137,AG-10900,7/23/2014,7/27/2014,Standard Class,8.16,Delivered
US-2016-134656,MM-18280,9/28/2016,10-01-2016,First Class,99.136,Delivered
US-2017-134481,AR-10405,8/27/2017,09-01-2017,Standard Class,1488.424,Delivered
CA-2015-130792,RA-19915,4/28/2015,05-05-2015,Standard Class,8.652,Delivered
CA-2016-134775,AS-10285,10/28/2016,10/29/2016,First Class,50.96,Delivered
CA-2015-125395,LA-16780,6/26/2015,6/29/2015,Second Class,41.9,Delivered
US-2015-168935,DO-13435,11/27/2015,12-02-2015,Standard Class,375.4575,Delivered
CA-2015-122756,DK-13225,12-03-2015,12-07-2015,Standard Class,482.34,Delivered
CA-2014-115973,NG-18430,11/24/2014,11/26/2014,First Class,2.624,Delivered
CA-2017-101798,MV-18190,12-11-2017,12/15/2017,Standard Class,23.36,Delivered
US-2014-135972,JG-15115,9/21/2014,9/23/2014,Second Class,246.384,Delivered
US-2014-134971,BP-11095,06-07-2014,06-10-2014,Second Class,12.462,Delivered
CA-2017-102946,VP-21730,6/30/2017,07-05-2017,Standard Class,75.792,Delivered
CA-2017-165603,SS-20140,10/17/2017,10/19/2017,Second Class,49.96,Delivered
CA-2015-122259,HP-14815,10/31/2015,11-04-2015,Standard Class,70.12,Delivered
CA-2016-108987,AG-10675,09-08-2016,09-10-2016,Second Class,35.952,Delivered
CA-2014-113166,LF-17185,12/24/2014,12/26/2014,First Class,9.568,Delivered
CA-2014-155208,SP-20650,4/16/2014,4/20/2014,Standard Class,39.072,Delivered
CA-2017-117933,RF-19840,12/24/2017,12/29/2017,Standard Class,35.91,Delivered
CA-2017-117457,KH-16510,12-08-2017,12-12-2017,Standard Class,179.95,Delivered
CA-2017-142636,KC-16675,11-03-2017,11-07-2017,Standard Class,139.86,Delivered
CA-2017-122105,CJ-12010,6/24/2017,6/28/2017,Standard Class,95.92,Delivered
CA-2016-148796,PB-19150,4/14/2016,4/18/2016,Standard Class,383.8,Delivered
CA-2017-154816,VB-21745,11-06-2017,11-10-2017,Standard Class,5.78,Delivered
CA-2017-110478,SP-20860,03-04-2017,03-09-2017,Standard Class,9.32,Delivered
CA-2014-142048,JE-15745,6/22/2014,6/25/2014,First Class,196.752,Delivered
CA-2017-125388,MP-17965,10/19/2017,10/23/2017,Standard Class,56.56,Delivered
CA-2017-155705,NF-18385,8/21/2017,8/23/2017,Second Class,866.4,Delivered
CA-2017-149160,JM-15265,11/23/2017,11/26/2017,Second Class,28.4,Delivered
CA-2014-101476,SD-20485,09-12-2014,9/13/2014,First Class,69.99,Delivered
CA-2017-152275,KH-16630,10-01-2017,10-08-2017,Standard Class,6.672,Delivered
US-2016-123750,RB-19795,4/15/2016,4/21/2016,Standard Class,189.588,Delivered
CA-2016-127369,DB-13060,06-06-2016,06-07-2016,First Class,714.3,Delivered
US-2014-150574,MK-18160,12/19/2014,12/25/2014,Standard Class,4.812,Delivered
CA-2016-147375,PO-19180,06-12-2016,6/14/2016,Second Class,1007.979,Delivered
CA-2017-130043,BB-11545,9/15/2017,9/19/2017,Standard Class,31.872,Delivered
CA-2017-157252,CV-12805,1/20/2017,1/23/2017,Second Class,207.846,Delivered
CA-2016-115756,PK-19075,09-05-2016,09-07-2016,Second Class,12.22,Delivered
CA-2017-154214,TB-21595,3/20/2017,3/25/2017,Second Class,2.91,Delivered
CA-2016-166674,RB-19360,04-01-2016,04-03-2016,Second Class,59.52,Delivered
CA-2017-147277,EB-13705,10/20/2017,10/24/2017,Standard Class,284.364,Delivered
CA-2016-100153,KH-16630,12/13/2016,12/17/2016,Standard Class,63.88,Delivered
US-2014-110674,SC-20095,02-12-2014,2/18/2014,Standard Class,129.568,Delivered
US-2016-157945,NF-18385,9/26/2016,10-01-2016,Standard Class,747.558,Delivered
CA-2015-109638,JH-15985,12/15/2015,12/22/2015,Standard Class,103.92,Delivered
CA-2016-109869,TN-21040,4/22/2016,4/29/2016,Standard Class,23.56,Delivered
US-2015-101399,JS-15940,1/17/2015,1/24/2015,Standard Class,254.744,Delivered
CA-2017-154907,DS-13180,3/31/2017,04-04-2017,Standard Class,205.3328,Delivered
US-2016-100419,CC-12670,12/16/2016,12/20/2016,Second Class,4.788,Delivered
CA-2015-154144,MH-17785,12/20/2015,12/24/2015,Standard Class,55.48,Delivered
CA-2014-144666,JP-15520,11-09-2014,11-11-2014,Second Class,340.92,Delivered
CA-2016-103891,KH-16690,07-12-2016,7/19/2016,Standard Class,95.76,Delivered
CA-2016-152632,JE-15475,10/27/2016,11-02-2016,Standard Class,40.2,Delivered
CA-2016-100790,JG-15805,6/26/2016,07-02-2016,Standard Class,14.7,Delivered
CA-2014-134677,XP-21865,10-06-2014,10-10-2014,Standard Class,9.09,Delivered
CA-2014-127691,EM-14065,7/22/2014,7/27/2014,Standard Class,5.96,Delivered
CA-2017-140963,MT-18070,06-10-2017,6/13/2017,First Class,29.6,Delivered
CA-2014-154627,SA-20830,10/29/2014,10/31/2014,First Class,2735.952,Delivered
CA-2014-133753,CW-11905,06-09-2014,6/13/2014,Second Class,7.992,Delivered
CA-2014-113362,AJ-10960,9/14/2014,9/19/2014,Standard Class,449.15,Delivered
CA-2016-169166,SS-20590,05-09-2016,5/14/2016,Standard Class,93.98,Delivered
US-2016-120929,RO-19780,3/18/2016,3/21/2016,Second Class,189.882,Delivered
CA-2015-134782,MD-17350,12/27/2015,12/31/2015,Standard Class,105.42,Delivered
CA-2016-126158,SC-20095,7/25/2016,7/31/2016,Standard Class,119.616,Delivered
US-2016-105578,MY-17380,5/30/2016,06-04-2016,Standard Class,22.62,Delivered
CA-2017-134978,EB-13705,11-12-2017,11/15/2017,Second Class,15.92,Delivered
CA-2015-145352,CM-12385,3/16/2015,3/22/2015,Standard Class,2.74,Delivered
CA-2017-135307,LS-17245,11/26/2017,11/27/2017,First Class,126.3,Delivered
CA-2016-106341,LF-17185,10/20/2016,10/23/2016,First Class,7.152,Delivered
CA-2017-163405,BN-11515,12/21/2017,12/25/2017,Standard Class,6.63,Delivered
CA-2017-127432,AD-10180,1/22/2017,1/27/2017,Standard Class,2999.95,Delivered
CA-2015-157812,DB-13210,3/22/2015,3/26/2015,Standard Class,18.392,Delivered
CA-2017-145142,MC-17605,1/23/2017,1/25/2017,First Class,210.98,Delivered
US-2016-139486,LH-17155,5/21/2016,5/23/2016,First Class,55.176,Delivered
CA-2015-158792,BD-11605,12/26/2015,01-02-2016,Standard Class,22.2,Delivered
CA-2017-113558,PH-18790,10/21/2017,10/26/2017,Standard Class,683.952,Delivered
US-2015-138303,MG-18145,09-03-2015,09-07-2015,Standard Class,36.336,Delivered
CA-2015-102848,KB-16240,11-07-2015,11-09-2015,Second Class,190.72,Delivered
US-2017-129441,JC-15340,09-07-2017,09-11-2017,Standard Class,47.94,Delivered
CA-2016-168753,RL-19615,5/29/2016,06-01-2016,Second Class,979.95,Delivered
CA-2016-126613,AA-10375,07-10-2016,7/16/2016,Standard Class,16.768,Delivered
US-2017-122637,EP-13915,09-03-2017,09-08-2017,Second Class,42.616,Delivered
CA-2015-147851,MP-17470,12-03-2015,12-08-2015,Standard Class,10.752,Delivered
CA-2015-134894,DK-12985,12-07-2015,12-11-2015,Standard Class,152.94,Delivered
CA-2014-140795,BD-11500,02-01-2014,02-03-2014,First Class,468.9,Delivered
CA-2016-136924,ES-14080,7/14/2016,7/17/2016,First Class,380.864,Delivered
US-2015-120161,LM-17065,12/18/2015,12/23/2015,Standard Class,646.776,Delivered
CA-2014-103849,PG-18895,05-11-2014,5/16/2014,Standard Class,58.112,Delivered
CA-2017-162929,AS-10135,11/19/2017,11/22/2017,First Class,41.28,Delivered
CA-2015-113173,DK-13225,11/15/2015,11/17/2015,Second Class,250.272,Delivered
CA-2016-136406,BD-11320,4/15/2016,4/17/2016,Second Class,1121.568,Delivered
CA-2017-112774,RC-19960,09-11-2017,09-12-2017,First Class,34.504,Delivered
CA-2017-101945,GT-14710,11/24/2017,11/28/2017,Standard Class,10.824,Delivered
CA-2017-100650,DK-13225,6/29/2017,07-03-2017,Second Class,1295.78,Delivered
CA-2014-155852,AJ-10945,03-03-2014,03-07-2014,Second Class,19.456,Delivered
CA-2016-113243,OT-18730,06-10-2016,6/15/2016,Standard Class,20.7,Delivered
CA-2017-118731,LP-17080,11/20/2017,11/22/2017,Second Class,42.6,Delivered
CA-2014-145576,CA-12775,9/14/2014,9/18/2014,Second Class,13,Delivered
CA-2015-130736,JF-15490,12-07-2015,12-09-2015,First Class,3.96,Delivered
CA-2017-137099,FP-14320,12-07-2017,12-10-2017,First Class,374.376,Delivered
CA-2017-156951,EB-13840,10-01-2017,10-08-2017,Standard Class,91.84,Delivered
CA-2017-164826,JF-15415,12/28/2017,01-04-2018,Standard Class,72.45,Delivered
CA-2016-127250,SF-20200,11-03-2016,11-07-2016,Standard Class,8.82,Delivered
CA-2015-149713,TG-21640,9/18/2015,9/22/2015,Second Class,160.72,Delivered
CA-2017-118640,CS-11950,7/20/2017,7/26/2017,Standard Class,69.712,Delivered
CA-2015-132906,CC-12145,09-10-2015,9/14/2015,Standard Class,51.52,Delivered
CA-2017-145233,DV-13465,12-01-2017,12-05-2017,Standard Class,470.376,Delivered
CA-2015-128139,BD-11725,07-03-2015,07-09-2015,Standard Class,70.98,Delivered
US-2016-156986,ZC-21910,3/20/2016,3/24/2016,Standard Class,84.784,Delivered
CA-2014-135405,MS-17830,01-09-2014,1/13/2014,Standard Class,9.344,Delivered
CA-2014-131450,LR-16915,08-08-2014,8/15/2014,Standard Class,76.12,Delivered
CA-2016-120180,TP-21130,7/14/2016,7/16/2016,First Class,11.632,Delivered
US-2016-100720,CK-12205,7/16/2016,7/21/2016,Standard Class,143.982,Delivered
CA-2014-149958,AS-10240,3/15/2014,3/19/2014,Standard Class,142.776,Delivered
US-2014-105767,AR-10510,5/23/2014,5/27/2014,Standard Class,3.282,Delivered
CA-2016-161816,NB-18655,4/28/2016,05-01-2016,First Class,369.576,Delivered
CA-2016-121223,GD-14590,09-11-2016,9/13/2016,Second Class,8.448,Delivered
CA-2017-138611,CK-12595,11/14/2017,11/17/2017,Second Class,119.94,Delivered
CA-2017-117947,NG-18355,8/18/2017,8/23/2017,Second Class,40.48,Delivered
US-2014-111171,CA-12265,12/26/2014,12/31/2014,Standard Class,8.69,Delivered
CA-2015-138009,SF-20965,11/29/2015,12-03-2015,Standard Class,301.96,Delivered
CA-2017-163020,MO-17800,9/15/2017,9/19/2017,Standard Class,35.56,Delivered
CA-2017-153787,AT-10735,5/19/2017,5/23/2017,Standard Class,97.16,Delivered
CA-2017-133431,LC-17140,12/17/2017,12/21/2017,Standard Class,15.24,Delivered
US-2016-135720,FM-14380,12-11-2016,12/13/2016,Second Class,243.384,Delivered
CA-2017-144694,BD-11605,9/24/2017,9/26/2017,Second Class,17.88,Delivered
CA-2015-168004,DJ-13420,10-04-2015,10-09-2015,Second Class,392.94,Delivered
US-2016-123470,ME-17725,8/15/2016,8/21/2016,Standard Class,18.882,Delivered
CA-2016-115917,RB-19465,5/20/2016,5/25/2016,Standard Class,1049.2,Delivered
CA-2016-147067,JD-16150,12/18/2016,12/22/2016,Standard Class,18.84,Delivered
CA-2017-167913,JL-15835,7/30/2017,08-03-2017,Second Class,330.4,Delivered
CA-2017-106103,SC-20305,06-10-2017,6/15/2017,Standard Class,132.52,Delivered
US-2017-127719,TW-21025,7/21/2017,7/25/2017,Standard Class,6.48,Delivered
CA-2017-126221,CC-12430,12/30/2017,01-05-2018,Standard Class,209.3,Delivered
CA-2016-103947,BB-10990,04-01-2016,04-08-2016,Standard Class,31.56,Delivered
CA-2016-160745,AR-10825,12-11-2016,12/16/2016,Second Class,14.8,Delivered
CA-2016-132661,SR-20740,10/23/2016,10/29/2016,Standard Class,379.4,Delivered
CA-2017-140844,AR-10405,6/19/2017,6/23/2017,Standard Class,97.82,Delivered
CA-2016-137239,CR-12730,8/22/2016,8/28/2016,Standard Class,113.552,Delivered
US-2016-156097,EH-14125,9/19/2016,9/19/2016,Same Day,701.372,Delivered
CA-2015-146563,CB-12025,8/24/2015,8/28/2015,Standard Class,999.432,Delivered
CA-2016-123666,SP-20545,3/26/2016,3/30/2016,Standard Class,459.95,Delivered
CA-2016-143308,RC-19825,11-04-2016,11-04-2016,Same Day,10.74,Delivered
CA-2017-132682,TH-21235,06-08-2017,06-10-2017,Second Class,23.76,Delivered
CA-2014-156314,RP-19390,12/24/2014,12/26/2014,First Class,30.36,Delivered
US-2017-106663,MO-17800,06-09-2017,6/13/2017,Standard Class,23.976,Delivered
CA-2017-111178,TD-20995,6/15/2017,6/22/2017,Standard Class,19.56,Delivered
CA-2017-130351,RB-19570,12-05-2017,12-08-2017,First Class,61.44,Delivered
US-2017-119438,CD-11980,3/18/2017,3/23/2017,Standard Class,2.688,Delivered
CA-2016-164511,DJ-13630,11/19/2016,11/24/2016,Standard Class,14.352,Delivered
US-2017-168116,GT-14635,11-04-2017,11-04-2017,Same Day,7999.98,Delivered
CA-2014-157784,MC-17845,07-05-2014,07-08-2014,First Class,479.97,Delivered
CA-2017-161480,RA-19285,12/25/2017,12/29/2017,Standard Class,191.984,Delivered
US-2014-117135,NP-18325,6/21/2014,6/23/2014,Second Class,104.01,Delivered
